Unnamed: 0,is_vulnerable,appname,average_loc,average_ncloc,average_dit,average_nocc,average_cbo,average_wmc,average_ccn,average_hv
3717,0,Tuleap,144.0,101.0,0.0,0.0,8.0,18.0,2.125,144.7511607490021
3718,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3719,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3720,0,Tuleap,63.333333333333336,38.66666666666666,2.0,0.0,2.0,6.666666666666667,1.148148148148148,200.12516106329824
3721,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3722,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3723,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3724,0,Tuleap,121.66666666666669,112.66666666666669,1.333333333333333,0.0,19.0,9.0,1.757575757575757,198.43368732919376
3725,0,Tuleap,127.25,94.75,1.0,0.0,5.25,18.25,1.388888888888888,445.0762195076701
3726,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3727,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3728,0,Tuleap,198.0,124.0,0.0,0.0,11.0,24.0,1.818181818181818,275.3593853212309
3729,0,Tuleap,90.75,86.25,0.0,0.0,3.75,13.75,1.25,92.5420620327108
3730,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3731,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3732,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3733,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3734,0,Tuleap,103.2,95.0,0.8,0.0,6.4,9.6,1.7923076923076922,313.8356248023787
3735,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3736,0,Tuleap,122.4,109.2,1.2,0.0,6.8,13.2,1.3272727272727272,149.66200662878873
3737,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3738,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3739,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3740,0,Tuleap,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3741,0,Tuleap,,,,,,,,
