Unnamed: 0,is_vulnerable,days_after_creation,past_contributions,ratio_past_contributions,new_author,past_contributions_30_days,ratio_past_contributions_30_days,dmm_unit_size,dmm_unit_complex,dmm_unit_interf,fix,touched_files,past_authors,sum_added_lines,mean_added_lines,med_added_lines,sum_deleted_lines,mean_deleted_lines,med_deleted_lines,sum_hunks,mean_hunks,med_hunks,sum_previous_changes,mean_previous_changes,med_previous_changes,sum_days_since_creation,mean_days_since_creation,med_days_since_creation,nr_of_blacklisted,appname
3554,0,3187,757,0.0119543933,0,48,0.0503144654,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3555,0,1855,867,0.0254910032,0,132,0.1611721612,1.0,0.0,0.1951219512,0,9.0,21.0,25.0,2.7777777778,2.0,99.0,11.0,6.0,24.0,2.6666666667000003,2.0,287.0,31.8888888889,28.0,11163.0,1240.3333333333,547.0,0.0,Tuleap
3556,0,-1912,638,0.2205323194,0,78,0.527027027,1.0,1.0,0.0833333333,0,3.0,9.0,23.0,7.6666666667,4.0,0.0,0.0,0.0,3.0,1.0,1.0,105.0,35.0,15.0,3755.0,1251.6666666667,845.0,0.0,Tuleap
3557,0,-3155,101,0.1608280255,0,31,0.4558823529,,,,0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,8.0,8.0,8.0,56.0,56.0,56.0,1.0,Tuleap
3558,0,2595,3455,0.0710554459,0,136,0.190743338,,,,0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,344.0,344.0,344.0,279.0,279.0,279.0,1.0,Tuleap
3559,0,-1162,1724,0.3254058135,0,123,0.6029411765,,,,0,1.0,5.0,291.0,291.0,291.0,289.0,289.0,289.0,47.0,47.0,47.0,186.0,186.0,186.0,1966.0,1966.0,1966.0,0.0,Tuleap
3560,0,3640,5390,0.0737759893,0,66,0.1456953642,1.0,1.0,1.0,0,19.0,25.0,323.0,17.0,7.0,79.0,6.0769230769,2.0,43.0,2.2631578947,2.0,781.0,45.9411764706,34.0,38354.0,2256.1176470588,1423.0,7.0,Tuleap
3561,0,2263,1453,0.0348199094,0,76,0.1137724551,,,,0,2.0,23.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,6353.0,3176.5,3176.5,5756.0,2878.0,2878.0,1.0,Tuleap
3562,0,944,300,0.0129589633,0,14,0.0740740741,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3563,0,3859,5651,0.0735673185,0,67,0.1378600823,,,,0,13.0,30.0,153.0,12.75,5.0,48.0,6.8571428571,2.0,17.0,1.3076923077,1.0,765.0,63.75,30.5,27977.0,2331.4166666667,2181.5,21.0,Tuleap
3564,0,2259,6488,0.1559390473,0,57,0.0906200318,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3565,0,2218,4271,0.1050314775,0,207,0.2476076555,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3566,0,3928,1324,0.0169441636,0,32,0.0514469453,1.0,1.0,1.0,1,5.0,19.0,132.0,26.4,13.0,17.0,5.6666666667,4.0,17.0,3.4,1.0,250.0,62.5,50.5,11044.0,2761.0,3180.0,0.0,Tuleap
3567,0,-28,5,0.0004304778,0,5,0.0076687117,1.0,1.0,1.0,0,1.0,1.0,12.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Tuleap
3568,0,1994,3456,0.0950416632,0,45,0.0842696629,,,,0,3.0,21.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2510.0,836.6666666667,669.0,7269.0,2423.0,2488.0,1.0,Tuleap
3569,0,-42,306,0.0270222536,0,131,0.1681643132,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3570,0,-372,7,0.0009240924,0,7,0.0769230769,,,,1,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,30.0,30.0,3745.0,3745.0,3745.0,0.0,Tuleap
3571,0,3297,6184,0.093539653,0,74,0.0788072417,,,,0,,,,,,,,,,,,,,,,,,,Tuleap
3572,0,-152,316,0.0334356153,0,77,0.2673611111,,,,0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,17.0,17.0,17.0,10.0,10.0,10.0,0.0,Tuleap
3573,0,888,2582,0.1137545158,0,38,0.1603375527,,,,0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,203.0,203.0,203.0,1382.0,1382.0,1382.0,3.0,Tuleap
3574,0,2725,834,0.0161234196,0,68,0.0838471023,,,,0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,158.0,158.0,158.0,94.0,94.0,94.0,1.0,Tuleap
